                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     80,                  1.141,                0.86325,                 1.1724,                0.73529,                0.32816,                0.37384,                 0.2618,                 1.4226,                 1.0996,                 1.0229,              0.0004358,              0.0004358,              0.0004358
                     81,                  1.088,                0.82186,                 1.1665,                0.73528,                0.32597,                0.37001,                0.26093,                  1.406,                    1.1,                 1.0211,               0.000416,               0.000416,               0.000416
                     82,                 1.1128,                0.83929,                 1.1683,                0.75076,                0.33045,                0.37024,                0.25993,                 1.4216,                 1.1386,                 1.0227,              0.0003962,              0.0003962,              0.0003962
                     83,                 1.1005,                0.82379,                 1.1847,                0.77278,                0.32095,                0.37107,                0.25992,                 1.4232,                 1.0812,                 1.0231,              0.0003764,              0.0003764,              0.0003764
                     84,                 1.0856,                0.84265,                 1.1856,                 0.7559,                0.32581,                0.37484,                0.26367,                 1.4073,                 1.0776,                 1.0135,              0.0003566,              0.0003566,              0.0003566
                     85,                 1.0564,                0.80418,                 1.1743,                0.76122,                0.32832,                0.37583,                0.26436,                 1.3919,                 1.0804,                  1.015,              0.0003368,              0.0003368,              0.0003368
                     86,                 1.1412,                 0.8322,                 1.1702,                0.76885,                0.32787,                0.37368,                 0.2628,                 1.3967,                 1.0843,                  1.012,               0.000317,               0.000317,               0.000317
                     87,                 1.0905,                0.80253,                 1.1595,                 0.7614,                0.32706,                0.37326,                0.26214,                 1.4175,                 1.0858,                 1.0148,              0.0002972,              0.0002972,              0.0002972
                     88,                  1.062,                0.79309,                 1.1579,                0.75439,                0.32832,                0.37312,                0.26554,                 1.3696,                 1.0757,                 1.0068,              0.0002774,              0.0002774,              0.0002774
                     89,                  1.013,                0.76488,                 1.1503,                0.76047,                0.33634,                0.37763,                0.26656,                 1.3852,                  1.061,                 1.0056,              0.0002576,              0.0002576,              0.0002576
                     90,                 1.0529,                0.78136,                   1.15,                0.75492,                0.33302,                0.37669,                0.26832,                 1.3811,                 1.0498,                 1.0054,              0.0002378,              0.0002378,              0.0002378
                     91,                 1.0181,                0.79573,                 1.0865,                0.74809,                0.33004,                0.37441,                0.26556,                 1.3992,                 1.0823,                  1.009,               0.000218,               0.000218,               0.000218
                     92,                  1.021,                0.77981,                 1.0895,                0.77203,                0.32745,                0.37307,                0.26576,                 1.3869,                 1.0717,                 1.0053,              0.0001982,              0.0001982,              0.0001982
                     93,                 1.0101,                0.77398,                 1.0772,                0.78024,                0.32644,                0.38197,                0.27181,                 1.3751,                 1.0425,                0.99673,              0.0001784,              0.0001784,              0.0001784
                     94,                  1.007,                0.75328,                 1.0863,                 0.7636,                0.32659,                0.37934,                0.27077,                 1.3854,                 1.0379,                0.99362,              0.0001586,              0.0001586,              0.0001586
                     95,                 1.0163,                0.77565,                 1.0793,                0.76719,                0.33443,                0.38021,                0.26883,                 1.3746,                 1.0371,                 0.9933,              0.0001388,              0.0001388,              0.0001388
                     96,                 1.0094,                0.75125,                 1.0713,                 0.7694,                0.33506,                0.38125,                0.27014,                 1.3757,                 1.0391,                0.99397,               0.000119,               0.000119,               0.000119
                     97,                0.96178,                0.73086,                 1.0589,                0.77994,                0.33662,                0.38379,                0.27482,                 1.3566,                 1.0187,                0.98814,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.97599,                 0.7384,                 1.0669,                0.78207,                0.33365,                0.38317,                0.27368,                 1.3655,                 1.0235,                0.98922,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.98231,                0.73047,                 1.0598,                0.79105,                0.33459,                0.38538,                0.27698,                 1.3475,                 1.0142,                0.98719,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                 1.0001,                0.74218,                 1.0654,                0.79045,                0.33365,                0.38479,                0.27574,                 1.3535,                 1.0132,                0.98551,               3.98e-05,               3.98e-05,               3.98e-05
